item_index,file_id,label,name,type_id,type_name,headwear_type_id,headwear_type_name,color_slot,color_id,color_label,color_name,rgb_hex,physical_archive,status
0,0,hd_bear,bear hat,4,Special,2,Mask,0,80,deep_reddish_brown,Deep reddish brown,560000,headwear_headwear000,planned_for_render
0,0,hd_bear,bear hat,4,Special,2,Mask,1,83,very_dark_gamboge,Very dark gamboge,332819,headwear_headwear000,planned_for_render
0,0,hd_bear,bear hat,4,Special,2,Mask,2,55,darkcyan,DarkCyan,008B8B,headwear_headwear000,planned_for_render
0,0,hd_bear,bear hat,4,Special,2,Mask,3,2,lemonchiffon,LemonChiffon,FFFACD,headwear_headwear000,planned_for_render
0,0,hd_bear,bear hat,4,Special,2,Mask,4,23,very_light_crimson,Very light crimson,FF82AB,headwear_headwear000,planned_for_render
0,0,hd_bear,bear hat,4,Special,2,Mask,5,73,goldenrod,Goldenrod,DAA520,headwear_headwear000,planned_for_render
0,0,hd_bear,bear hat,4,Special,2,Mask,6,77,chocolate,Chocolate,D2691E,headwear_headwear000,planned_for_render
0,0,hd_bear,bear hat,4,Special,2,Mask,7,62,lime,Lime,00FF00,headwear_headwear000,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,0,3,khaki,Khaki,F0E68C,headwear_headwear001,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,1,8,salmon,Salmon,FA8072,headwear_headwear001,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,2,16,red,Red,FF0000,headwear_headwear001,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,3,19,darkred,DarkRed,8B0000,headwear_headwear001,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,4,29,mediumvioletred,MediumVioletRed,C71585,headwear_headwear001,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,5,42,luminous_vivid_azure,Luminous vivid azure,0066FF,headwear_headwear001,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,6,54,darkturquoise,DarkTurquoise,00CED1,headwear_headwear001,planned_for_render
1,1,hd_hibiscus,hibiscus barrette,1,Female,1,Accessory,7,58,yellowgreen,YellowGreen,9ACD32,headwear_headwear001,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,0,16,red,Red,FF0000,headwear_headwear002,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,1,46,darkblue,DarkBlue,00008B,headwear_headwear002,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,2,1,ivory,Ivory,FFFFF0,headwear_headwear002,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,3,69,very_deep_green,Very deep green,003300,headwear_headwear002,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,4,61,chartreuse,Chartreuse,7FFF00,headwear_headwear002,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,5,5,yellow,Yellow,FFFF00,headwear_headwear002,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,6,26,deeppink,DeepPink,FF1493,headwear_headwear002,planned_for_render
2,2,hd_straw_hat,straw hat,2,Unisex,0,Hat,7,91,black,Black,000000,headwear_headwear002,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,0,66,olive,Olive,808000,headwear_headwear003,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,1,78,brown,Brown,A52A2A,headwear_headwear003,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,2,88,dark_gray,Dark gray,4D4D4D,headwear_headwear003,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,3,47,darkblue_2,DarkBlue_2,1E1E4C,headwear_headwear003,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,4,68,darkgreen,DarkGreen,006400,headwear_headwear003,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,5,72,tan,Tan,D2B48C,headwear_headwear003,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,6,51,cadetblue,CadetBlue,5F9EA0,headwear_headwear003,planned_for_render
3,3,hd_hat,chino bucket hat,2,Unisex,0,Hat,7,38,deep_magenta,Deep magenta,5C005C,headwear_headwear003,planned_for_render
